"","species","decimallongitude","decimallatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateuncertaintyinmeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName"
"1","Geranium lucidum",-122.754782,45.532365,"cdround,gass84","USA",NA,"PRESENT",15,"iNaturalist","2543096590","https://www.inaturalist.org/observations/37198865","HUMAN_OBSERVATION",2020,1,1,"2020-01-01T14:41:00","WGS84","iNaturalist research-grade observations"
"2","Geranium lucidum",16.092995,58.595899,"cdround,gass84","SWE",NA,"PRESENT",750,"ArtDatabanken","2548567421",NA,"HUMAN_OBSERVATION",2020,1,4,"2020-01-04T00:00:00","WGS84",NA
"3","Geranium lucidum",-123.082276,43.986409,"cdround,gass84","USA",NA,"PRESENT",151,"iNaturalist","2557751177","https://www.inaturalist.org/observations/37472480","HUMAN_OBSERVATION",2020,1,9,"2020-01-09T14:57:00","WGS84","iNaturalist research-grade observations"
"4","Geranium lucidum",-2.469532,53.846007,"cdround,gass84","GBR",NA,"PRESENT",4,"iNaturalist","2557756470","https://www.inaturalist.org/observations/37484655","HUMAN_OBSERVATION",2020,1,11,"2020-01-11T12:17:11","WGS84","iNaturalist research-grade observations"
"5","Geranium lucidum",-2.181761,51.433517,"cdround,gass84","GBR",NA,"PRESENT",24,"iNaturalist","2557782911","https://www.inaturalist.org/observations/37553005","HUMAN_OBSERVATION",2020,1,13,"2020-01-13T10:01:03","WGS84","iNaturalist research-grade observations"
"6","Geranium lucidum",-122.982082,44.014957,"cdround,gass84","USA",NA,"PRESENT",57,"iNaturalist","2563550258","https://www.inaturalist.org/observations/37831859","HUMAN_OBSERVATION",2020,1,18,"2020-01-18T13:19:00","WGS84","iNaturalist research-grade observations"
"7","Geranium lucidum",-123.2592,44.96633,"gass84","USA",NA,"PRESENT",5,"iNaturalist","2563642635","https://www.inaturalist.org/observations/38093730","HUMAN_OBSERVATION",2020,1,28,"2020-01-28T16:10:25","WGS84","iNaturalist research-grade observations"
"8","Geranium lucidum",-122.945833,44.000278,"cdround,gass84","USA",NA,"PRESENT",82,"iNaturalist","2563656251","https://www.inaturalist.org/observations/38131572","HUMAN_OBSERVATION",2020,1,26,"2020-01-26T14:29:00","WGS84","iNaturalist research-grade observations"
"9","Geranium lucidum",-122.95457,44.002855,"gass84","USA",NA,"PRESENT",95,"iNaturalist","2563656616","https://www.inaturalist.org/observations/38133966","HUMAN_OBSERVATION",2020,1,26,"2020-01-26T15:45:00","WGS84","iNaturalist research-grade observations"
"10","Geranium lucidum",-123.207234,44.701446,"gass84","USA",NA,"PRESENT",20,"iNaturalist","2574228824","https://www.inaturalist.org/observations/38191418","HUMAN_OBSERVATION",2020,1,31,"2020-01-31T17:52:00","WGS84","iNaturalist research-grade observations"
"11","Geranium lucidum",-0.9318,46.792962,"cdround,gass84","FRA",NA,"PRESENT",5,"iNaturalist","2619931612","https://www.inaturalist.org/observations/37263250","HUMAN_OBSERVATION",2020,1,4,"2020-01-04T14:21:18","WGS84","iNaturalist research-grade observations"
"12","Geranium lucidum",-122.445675,45.781851,"cdround,gass84","USA",NA,"PRESENT",7,"iNaturalist","2619954500","https://www.inaturalist.org/observations/37761678","HUMAN_OBSERVATION",2020,1,5,"2020-01-05T12:14:37","WGS84","iNaturalist research-grade observations"
"13","Geranium lucidum",-84.808022,10.338988,"cdround,gass84","CRI",NA,"PRESENT",10,"iNaturalist","2620016455","https://www.inaturalist.org/observations/37783868","HUMAN_OBSERVATION",2020,1,12,"2020-01-12T17:06:24","WGS84","iNaturalist research-grade observations"
